"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,,
"January 1976 to date, not seasonally adjusted",,,,,,,,,,
,,,,,,,,,,
FIPS Code,State and area,Period,,Civilian non-institutional population,Civilian labor force,,,,,
13,Georgia,1980,08,"3,932,000   ","2,557,927   ",65.1   ,"2,378,102   ",60.5   ,"179,825   ",7.0   
15,Hawaii,1980,08,"665,000   ","441,034   ",66.3   ,"418,776   ",63.0   ,"22,258   ",5.0   
16,Idaho,1980,08,"661,000   ","430,116   ",65.1   ,"398,624   ",60.3   ,"31,492   ",7.3   
17,Illinois,1980,08,"8,481,000   ","5,628,015   ",66.4   ,"5,133,006   ",60.5   ,"495,009   ",8.8   
18,Indiana,1980,08,"4,016,000   ","2,633,751   ",65.6   ,"2,360,377   ",58.8   ,"273,374   ",10.4   
19,Iowa,1980,08,"2,152,000   ","1,443,522   ",67.1   ,"1,344,888   ",62.5   ,"98,634   ",6.8   
20,Kansas,1980,08,"1,741,000   ","1,190,610   ",68.4   ,"1,130,493   ",64.9   ,"60,117   ",5.0   
21,Kentucky,1980,08,"2,653,000   ","1,670,380   ",63.0   ,"1,531,808   ",57.7   ,"138,572   ",8.3   
22,Louisiana,1980,08,"2,989,000   ","1,797,472   ",60.1   ,"1,675,803   ",56.1   ,"121,669   ",6.8   
23,Maine,1980,08,"827,000   ","523,691   ",63.3   ,"487,193   ",58.9   ,"36,498   ",7.0   
24,Maryland,1980,08,"3,151,000   ","2,177,148   ",69.1   ,"2,030,774   ",64.4   ,"146,374   ",6.7   
25,Massachusetts,1980,08,"4,379,000   ","2,921,257   ",66.7   ,"2,755,962   ",62.9   ,"165,295   ",5.7   
26,Michigan,1980,08,"6,773,000   ","4,361,423   ",64.4   ,"3,790,550   ",56.0   ,"570,873   ",13.1   
27,Minnesota,1980,08,"3,014,000   ","2,129,763   ",70.7   ,"2,006,626   ",66.6   ,"123,137   ",5.8   
28,Mississippi,1980,08,"1,774,000   ","1,061,480   ",59.8   ,"976,443   ",55.0   ,"85,037   ",8.0   
29,Missouri,1980,08,"3,665,000   ","2,331,062   ",63.6   ,"2,141,473   ",58.4   ,"189,589   ",8.1   
30,Montana,1980,08,"575,000   ","382,030   ",66.4   ,"360,341   ",62.7   ,"21,689   ",5.7   
31,Nebraska,1980,08,"1,149,000   ","772,655   ",67.2   ,"741,337   ",64.5   ,"31,318   ",4.1   
32,Nevada,1980,08,"609,000   ","436,738   ",71.7   ,"408,112   ",67.0   ,"28,626   ",6.6   
33,New Hampshire,1980,08,"685,000   ","477,745   ",69.7   ,"454,377   ",66.3   ,"23,368   ",4.9   
34,New Jersey,1980,08,"5,606,000   ","3,646,730   ",65.1   ,"3,370,686   ",60.1   ,"276,044   ",7.6   
35,New Mexico,1980,08,"924,000   ","568,397   ",61.5   ,"524,083   ",56.7   ,"44,314   ",7.8   
36,New York,1980,08,"13,320,000   ","8,092,466   ",60.8   ,"7,489,737   ",56.2   ,"602,729   ",7.4   
51000,New York city,1980,08,"5,527,000   ","3,075,509   ",55.6   ,"2,807,781   ",50.8   ,"267,728   ",8.7   
37,North Carolina,1980,08,"4,304,000   ","2,913,017   ",67.7   ,"2,709,702   ",63.0   ,"203,315   ",7.0   
38,North Dakota,1980,08,"468,000   ","313,132   ",66.9   ,"297,368   ",63.5   ,"15,764   ",5.0   
39,Ohio,1980,08,"7,999,000   ","5,176,595   ",64.7   ,"4,695,331   ",58.7   ,"481,264   ",9.3   
40,Oklahoma,1980,08,"2,225,000   ","1,391,074   ",62.5   ,"1,317,105   ",59.2   ,"73,969   ",5.3   
41,Oregon,1980,08,"1,979,000   ","1,323,880   ",66.9   ,"1,209,608   ",61.1   ,"114,272   ",8.6   
42,Pennsylvania,1980,08,"9,056,000   ","5,520,220   ",61.0   ,"5,057,629   ",55.8   ,"462,591   ",8.4   
44,Rhode Island,1980,08,"720,000   ","472,531   ",65.6   ,"438,298   ",60.9   ,"34,233   ",7.2   
45,South Carolina,1980,08,"2,227,000   ","1,430,532   ",64.2   ,"1,321,563   ",59.3   ,"108,969   ",7.6   
46,South Dakota,1980,08,"496,000   ","341,123   ",68.8   ,"324,498   ",65.4   ,"16,625   ",4.9   
47,Tennessee,1980,08,"3,406,000   ","2,108,738   ",61.9   ,"1,938,782   ",56.9   ,"169,956   ",8.1   
48,Texas,1980,08,"10,264,000   ","6,805,830   ",66.3   ,"6,429,380   ",62.6   ,"376,450   ",5.5   
49,Utah,1980,08,"965,000   ","638,062   ",66.1   ,"594,448   ",61.6   ,"43,614   ",6.8   
50,Vermont,1980,08,"378,000   ","257,687   ",68.2   ,"241,260   ",63.8   ,"16,427   ",6.4   
51,Virginia,1980,08,"3,897,000   ","2,600,625   ",66.7   ,"2,457,514   ",63.1   ,"143,111   ",5.5   
53,Washington,1980,08,"3,067,000   ","2,004,087   ",65.3   ,"1,844,264   ",60.1   ,"159,823   ",8.0   
54,West Virginia,1980,08,"1,446,000   ","796,705   ",55.1   ,"718,179   ",49.7   ,"78,526   ",9.9   
55,Wisconsin,1980,08,"3,481,000   ","2,397,962   ",68.9   ,"2,205,431   ",63.4   ,"192,531   ",8.0   
56,Wyoming,1980,08,"337,000   ","240,426   ",71.3   ,"232,181   ",68.9   ,"8,245   ",3.4   
01,Alabama,1980,09,"2,837,000   ","1,664,816   ",58.7   ,"1,510,316   ",53.2   ,"154,500   ",9.3   
02,Alaska,1980,09,"266,000   ","188,546   ",70.9   ,"172,436   ",64.8   ,"16,110   ",8.5   
04,Arizona,1980,09,"2,005,000   ","1,246,742   ",62.2   ,"1,159,500   ",57.8   ,"87,242   ",7.0   
05,Arkansas,1980,09,"1,674,000   ","999,699   ",59.7   ,"925,417   ",55.3   ,"74,282   ",7.4   
06,California,1980,09,"17,772,000   ","11,629,491   ",65.4   ,"10,844,343   ",61.0   ,"785,148   ",6.8   
037,Los Angeles County,1980,09,"5,656,000   ","3,785,191   ",66.9   ,"3,509,070   ",62.0   ,"276,121   ",7.3   
08,Colorado,1980,09,"2,140,000   ","1,522,175   ",71.1   ,"1,429,559   ",66.8   ,"92,616   ",6.1   
09,Connecticut,1980,09,"2,374,000   ","1,580,388   ",66.6   ,"1,487,277   ",62.6   ,"93,111   ",5.9   
10,Delaware,1980,09,"441,000   ","280,312   ",63.6   ,"257,880   ",58.5   ,"22,432   ",8.0   
11,District of Columbia,1980,09,"491,000   ","318,753   ",64.9   ,"293,049   ",59.7   ,"25,704   ",8.1   
12,Florida,1980,09,"7,674,000   ","4,349,735   ",56.7   ,"4,049,574   ",52.8   ,"300,161   ",6.9   
13,Georgia,1980,09,"3,939,000   ","2,532,059   ",64.3   ,"2,371,665   ",60.2   ,"160,394   ",6.3   
15,Hawaii,1980,09,"666,000   ","437,650   ",65.7   ,"412,672   ",62.0   ,"24,978   ",5.7   
16,Idaho,1980,09,"662,000   ","424,419   ",64.1   ,"396,114   ",59.8   ,"28,305   ",6.7   
17,Illinois,1980,09,"8,486,000   ","5,545,426   ",65.3   ,"5,091,719   ",60.0   ,"453,707   ",8.2   
18,Indiana,1980,09,"4,018,000   ","2,605,652   ",64.8   ,"2,363,020   ",58.8   ,"242,632   ",9.3   
19,Iowa,1980,09,"2,153,000   ","1,432,608   ",66.5   ,"1,342,499   ",62.4   ,"90,109   ",6.3   
20,Kansas,1980,09,"1,743,000   ","1,178,651   ",67.6   ,"1,126,835   ",64.6   ,"51,816   ",4.4   
21,Kentucky,1980,09,"2,655,000   ","1,671,441   ",63.0   ,"1,531,802   ",57.7   ,"139,639   ",8.4   
22,Louisiana,1980,09,"2,995,000   ","1,793,963   ",59.9   ,"1,675,144   ",55.9   ,"118,819   ",6.6   
23,Maine,1980,09,"828,000   ","506,248   ",61.1   ,"470,194   ",56.8   ,"36,054   ",7.1   
24,Maryland,1980,09,"3,155,000   ","2,144,397   ",68.0   ,"2,005,423   ",63.6   ,"138,974   ",6.5   
25,Massachusetts,1980,09,"4,383,000   ","2,864,683   ",65.4   ,"2,702,968   ",61.7   ,"161,715   ",5.6   
26,Michigan,1980,09,"6,774,000   ","4,269,621   ",63.0   ,"3,741,571   ",55.2   ,"528,050   ",12.4   
27,Minnesota,1980,09,"3,017,000   ","2,113,516   ",70.1   ,"1,993,217   ",66.1   ,"120,299   ",5.7   
28,Mississippi,1980,09,"1,776,000   ","1,056,238   ",59.5   ,"973,097   ",54.8   ,"83,141   ",7.9   
29,Missouri,1980,09,"3,667,000   ","2,287,636   ",62.4   ,"2,123,057   ",57.9   ,"164,579   ",7.2   
30,Montana,1980,09,"576,000   ","373,519   ",64.8   ,"353,220   ",61.3   ,"20,299   ",5.4   
31,Nebraska,1980,09,"1,150,000   ","760,682   ",66.1   ,"731,581   ",63.6   ,"29,101   ",3.8   
32,Nevada,1980,09,"612,000   ","437,668   ",71.5   ,"408,777   ",66.8   ,"28,891   ",6.6   
33,New Hampshire,1980,09,"686,000   ","464,598   ",67.7   ,"443,096   ",64.6   ,"21,502   ",4.6   
34,New Jersey,1980,09,"5,612,000   ","3,557,213   ",63.4   ,"3,308,531   ",59.0   ,"248,682   ",7.0   
35,New Mexico,1980,09,"926,000   ","568,267   ",61.4   ,"522,985   ",56.5   ,"45,282   ",8.0   
36,New York,1980,09,"13,327,000   ","7,909,543   ",59.3   ,"7,335,610   ",55.0   ,"573,933   ",7.3   
51000,New York city,1980,09,"5,531,000   ","3,037,665   ",54.9   ,"2,785,774   ",50.4   ,"251,891   ",8.3   
37,North Carolina,1980,09,"4,310,000   ","2,842,859   ",66.0   ,"2,667,792   ",61.9   ,"175,067   ",6.2   
38,North Dakota,1980,09,"468,000   ","304,606   ",65.1   ,"290,982   ",62.2   ,"13,624   ",4.5   
39,Ohio,1980,09,"8,003,000   ","5,106,352   ",63.8   ,"4,656,283   ",58.2   ,"450,069   ",8.8   
40,Oklahoma,1980,09,"2,229,000   ","1,389,431   ",62.3   ,"1,317,898   ",59.1   ,"71,533   ",5.1   
41,Oregon,1980,09,"1,981,000   ","1,300,626   ",65.7   ,"1,199,573   ",60.6   ,"101,053   ",7.8   
42,Pennsylvania,1980,09,"9,061,000   ","5,403,381   ",59.6   ,"4,973,208   ",54.9   ,"430,173   ",8.0   
44,Rhode Island,1980,09,"721,000   ","471,069   ",65.3   ,"436,817   ",60.6   ,"34,252   ",7.3   
45,South Carolina,1980,09,"2,231,000   ","1,409,450   ",63.2   ,"1,307,593   ",58.6   ,"101,857   ",7.2   
46,South Dakota,1980,09,"496,000   ","333,750   ",67.3   ,"318,232   ",64.2   ,"15,518   ",4.6   
47,Tennessee,1980,09,"3,409,000   ","2,083,351   ",61.1   ,"1,930,412   ",56.6   ,"152,939   ",7.3   
48,Texas,1980,09,"10,291,000   ","6,788,235   ",66.0   ,"6,445,591   ",62.6   ,"342,644   ",5.0   
49,Utah,1980,09,"968,000   ","635,581   ",65.7   ,"595,981   ",61.6   ,"39,600   ",6.2   
50,Vermont,1980,09,"378,000   ","252,134   ",66.7   ,"236,365   ",62.5   ,"15,769   ",6.3   
51,Virginia,1980,09,"3,903,000   ","2,553,752   ",65.4   ,"2,422,780   ",62.1   ,"130,972   ",5.1   
53,Washington,1980,09,"3,073,000   ","1,985,876   ",64.6   ,"1,837,029   ",59.8   ,"148,847   ",7.5   
54,West Virginia,1980,09,"1,447,000   ","785,394   ",54.3   ,"712,058   ",49.2   ,"73,336   ",9.3   
55,Wisconsin,1980,09,"3,484,000   ","2,368,920   ",68.0   ,"2,188,176   ",62.8   ,"180,744   ",7.6   
56,Wyoming,1980,09,"338,000   ","239,082   ",70.7   ,"231,085   ",68.4   ,"7,997   ",3.3   
01,Alabama,1980,10,"2,840,000   ","1,689,281   ",59.5   ,"1,526,781   ",53.8   ,"162,500   ",9.6   
02,Alaska,1980,10,"266,000   ","186,663   ",70.2   ,"170,168   ",64.0   ,"16,495   ",8.8   
04,Arizona,1980,10,"2,010,000   ","1,248,990   ",62.1   ,"1,164,492   ",57.9   ,"84,498   ",6.8   
05,Arkansas,1980,10,"1,675,000   ","1,000,056   ",59.7   ,"928,188   ",55.4   ,"71,868   ",7.2   
06,California,1980,10,"17,803,000   ","11,696,695   ",65.7   ,"10,900,015   ",61.2   ,"796,680   ",6.8   
037,Los Angeles County,1980,10,"5,662,000   ","3,797,193   ",67.1   ,"3,525,564   ",62.3   ,"271,629   ",7.2   
08,Colorado,1980,10,"2,145,000   ","1,516,230   ",70.7   ,"1,427,191   ",66.5   ,"89,039   ",5.9   
09,Connecticut,1980,10,"2,377,000   ","1,589,900   ",66.9   ,"1,498,202   ",63.0   ,"91,698   ",5.8   
10,Delaware,1980,10,"441,000   ","283,993   ",64.4   ,"262,070   ",59.4   ,"21,923   ",7.7   
11,District of Columbia,1980,10,"490,000   ","317,269   ",64.7   ,"291,518   ",59.5   ,"25,751   ",8.1   
12,Florida,1980,10,"7,699,000   ","4,365,338   ",56.7   ,"4,073,092   ",52.9   ,"292,246   ",6.7   
13,Georgia,1980,10,"3,947,000   ","2,548,042   ",64.6   ,"2,388,136   ",60.5   ,"159,906   ",6.3   
15,Hawaii,1980,10,"667,000   ","439,003   ",65.8   ,"415,926   ",62.4   ,"23,077   ",5.3   
16,Idaho,1980,10,"663,000   ","428,892   ",64.7   ,"401,459   ",60.6   ,"27,433   ",6.4   
17,Illinois,1980,10,"8,491,000   ","5,572,890   ",65.6   ,"5,088,905   ",59.9   ,"483,985   ",8.7   
18,Indiana,1980,10,"4,020,000   ","2,615,640   ",65.1   ,"2,377,435   ",59.1   ,"238,205   ",9.1   
19,Iowa,1980,10,"2,154,000   ","1,441,546   ",66.9   ,"1,356,372   ",63.0   ,"85,174   ",5.9   
20,Kansas,1980,10,"1,744,000   ","1,188,263   ",68.1   ,"1,135,736   ",65.1   ,"52,527   ",4.4   
21,Kentucky,1980,10,"2,657,000   ","1,675,953   ",63.1   ,"1,533,578   ",57.7   ,"142,375   ",8.5   
22,Louisiana,1980,10,"3,000,000   ","1,825,157   ",60.8   ,"1,699,562   ",56.7   ,"125,595   ",6.9   
23,Maine,1980,10,"829,000   ","508,743   ",61.4   ,"472,963   ",57.1   ,"35,780   ",7.0   
24,Maryland,1980,10,"3,159,000   ","2,160,836   ",68.4   ,"2,017,698   ",63.9   ,"143,138   ",6.6   
25,Massachusetts,1980,10,"4,387,000   ","2,882,557   ",65.7   ,"2,732,856   ",62.3   ,"149,701   ",5.2   
26,Michigan,1980,10,"6,776,000   ","4,300,351   ",63.5   ,"3,784,971   ",55.9   ,"515,380   ",12.0   
27,Minnesota,1980,10,"3,020,000   ","2,119,773   ",70.2   ,"2,009,802   ",66.5   ,"109,971   ",5.2   
28,Mississippi,1980,10,"1,778,000   ","1,057,673   ",59.5   ,"976,163   ",54.9   ,"81,510   ",7.7   
29,Missouri,1980,10,"3,670,000   ","2,312,355   ",63.0   ,"2,148,202   ",58.5   ,"164,153   ",7.1   
30,Montana,1980,10,"577,000   ","376,448   ",65.2   ,"355,311   ",61.6   ,"21,137   ",5.6   
31,Nebraska,1980,10,"1,151,000   ","769,302   ",66.8   ,"740,892   ",64.4   ,"28,410   ",3.7   
32,Nevada,1980,10,"614,000   ","440,558   ",71.8   ,"413,651   ",67.4   ,"26,907   ",6.1   
33,New Hampshire,1980,10,"687,000   ","466,396   ",67.9   ,"446,925   ",65.1   ,"19,471   ",4.2   
34,New Jersey,1980,10,"5,617,000   ","3,585,555   ",63.8   ,"3,332,358   ",59.3   ,"253,197   ",7.1   
35,New Mexico,1980,10,"928,000   ","574,748   ",61.9   ,"529,756   ",57.1   ,"44,992   ",7.8   
36,New York,1980,10,"13,334,000   ","7,952,513   ",59.6   ,"7,373,773   ",55.3   ,"578,740   ",7.3   
51000,New York city,1980,10,"5,534,000   ","3,062,457   ",55.3   ,"2,798,210   ",50.6   ,"264,247   ",8.6   
37,North Carolina,1980,10,"4,316,000   ","2,861,536   ",66.3   ,"2,679,508   ",62.1   ,"182,028   ",6.4   
38,North Dakota,1980,10,"469,000   ","304,646   ",65.0   ,"292,161   ",62.3   ,"12,485   ",4.1   
39,Ohio,1980,10,"8,007,000   ","5,134,154   ",64.1   ,"4,687,423   ",58.5   ,"446,731   ",8.7   
40,Oklahoma,1980,10,"2,233,000   ","1,401,996   ",62.8   ,"1,330,897   ",59.6   ,"71,099   ",5.1   
41,Oregon,1980,10,"1,983,000   ","1,307,777   ",65.9   ,"1,204,353   ",60.7   ,"103,424   ",7.9   
42,Pennsylvania,1980,10,"9,066,000   ","5,460,143   ",60.2   ,"5,028,436   ",55.5   ,"431,707   ",7.9   
44,Rhode Island,1980,10,"722,000   ","473,141   ",65.5   ,"439,525   ",60.9   ,"33,616   ",7.1   
45,South Carolina,1980,10,"2,235,000   ","1,418,502   ",63.5   ,"1,314,140   ",58.8   ,"104,362   ",7.4   
46,South Dakota,1980,10,"496,000   ","335,198   ",67.6   ,"320,439   ",64.6   ,"14,759   ",4.4   
47,Tennessee,1980,10,"3,413,000   ","2,102,508   ",61.6   ,"1,937,838   ",56.8   ,"164,670   ",7.8   
48,Texas,1980,10,"10,318,000   ","6,852,677   ",66.4   ,"6,511,909   ",63.1   ,"340,768   ",5.0   
49,Utah,1980,10,"970,000   ","640,683   ",66.0   ,"598,909   ",61.7   ,"41,774   ",6.5   
50,Vermont,1980,10,"378,000   ","252,492   ",66.8   ,"237,965   ",63.0   ,"14,527   ",5.8   
51,Virginia,1980,10,"3,909,000   ","2,565,507   ",65.6   ,"2,439,795   ",62.4   ,"125,712   ",4.9   
53,Washington,1980,10,"3,078,000   ","2,001,322   ",65.0   ,"1,849,100   ",60.1   ,"152,222   ",7.6   
54,West Virginia,1980,10,"1,448,000   ","787,314   ",54.4   ,"713,541   ",49.3   ,"73,773   ",9.4   
55,Wisconsin,1980,10,"3,487,000   ","2,370,340   ",68.0   ,"2,188,456   ",62.8   ,"181,884   ",7.7   
56,Wyoming,1980,10,"339,000   ","240,956   ",71.1   ,"232,058   ",68.5   ,"8,898   ",3.7   
01,Alabama,1980,11,"2,843,000   ","1,688,713   ",59.4   ,"1,530,570   ",53.8   ,"158,143   ",9.4   
02,Alaska,1980,11,"267,000   ","185,426   ",69.4   ,"168,197   ",63.0   ,"17,229   ",9.3   
04,Arizona,1980,11,"2,015,000   ","1,250,086   ",62.0   ,"1,175,820   ",58.4   ,"74,266   ",5.9   
05,Arkansas,1980,11,"1,677,000   ","995,030   ",59.3   ,"920,790   ",54.9   ,"74,240   ",7.5   
06,California,1980,11,"17,834,000   ","11,690,369   ",65.6   ,"10,874,734   ",61.0   ,"815,635   ",7.0   
037,Los Angeles County,1980,11,"5,668,000   ","3,798,761   ",67.0   ,"3,531,818   ",62.3   ,"266,943   ",7.0   
08,Colorado,1980,11,"2,150,000   ","1,496,434   ",69.6   ,"1,408,354   ",65.5   ,"88,080   ",5.9   
09,Connecticut,1980,11,"2,379,000   ","1,585,855   ",66.7   ,"1,492,210   ",62.7   ,"93,645   ",5.9   
10,Delaware,1980,11,"442,000   ","285,228   ",64.5   ,"264,991   ",60.0   ,"20,237   ",7.1   
11,District of Columbia,1980,11,"490,000   ","315,134   ",64.3   ,"288,769   ",58.9   ,"26,365   ",8.4   
12,Florida,1980,11,"7,724,000   ","4,347,661   ",56.3   ,"4,069,407   ",52.7   ,"278,254   ",6.4   
13,Georgia,1980,11,"3,955,000   ","2,547,612   ",64.4   ,"2,404,465   ",60.8   ,"143,147   ",5.6   
15,Hawaii,1980,11,"668,000   ","444,741   ",66.6   ,"421,484   ",63.1   ,"23,257   ",5.2   
16,Idaho,1980,11,"664,000   ","425,192   ",64.0   ,"394,817   ",59.5   ,"30,375   ",7.1   
17,Illinois,1980,11,"8,496,000   ","5,565,719   ",65.5   ,"5,084,676   ",59.8   ,"481,043   ",8.6   
18,Indiana,1980,11,"4,022,000   ","2,608,832   ",64.9   ,"2,369,287   ",58.9   ,"239,545   ",9.2   
19,Iowa,1980,11,"2,155,000   ","1,429,295   ",66.3   ,"1,345,313   ",62.4   ,"83,982   ",5.9   
20,Kansas,1980,11,"1,745,000   ","1,188,434   ",68.1   ,"1,137,379   ",65.2   ,"51,055   ",4.3   
21,Kentucky,1980,11,"2,659,000   ","1,684,203   ",63.3   ,"1,541,221   ",58.0   ,"142,982   ",8.5   
22,Louisiana,1980,11,"3,005,000   ","1,823,937   ",60.7   ,"1,699,502   ",56.6   ,"124,435   ",6.8   
23,Maine,1980,11,"830,000   ","501,143   ",60.4   ,"463,343   ",55.8   ,"37,800   ",7.5   
24,Maryland,1980,11,"3,164,000   ","2,157,559   ",68.2   ,"2,015,917   ",63.7   ,"141,642   ",6.6   
25,Massachusetts,1980,11,"4,391,000   ","2,893,381   ",65.9   ,"2,743,106   ",62.5   ,"150,275   ",5.2   
26,Michigan,1980,11,"6,777,000   ","4,295,639   ",63.4   ,"3,776,866   ",55.7   ,"518,773   ",12.1   
27,Minnesota,1980,11,"3,023,000   ","2,115,572   ",70.0   ,"2,006,079   ",66.4   ,"109,493   ",5.2   
28,Mississippi,1980,11,"1,780,000   ","1,060,836   ",59.6   ,"978,975   ",55.0   ,"81,861   ",7.7   
29,Missouri,1980,11,"3,672,000   ","2,310,798   ",62.9   ,"2,142,533   ",58.3   ,"168,265   ",7.3   
30,Montana,1980,11,"577,000   ","375,143   ",65.0   ,"352,864   ",61.2   ,"22,279   ",5.9   
31,Nebraska,1980,11,"1,152,000   ","769,303   ",66.8   ,"740,766   ",64.3   ,"28,537   ",3.7   
32,Nevada,1980,11,"616,000   ","442,973   ",71.9   ,"416,224   ",67.6   ,"26,749   ",6.0   
33,New Hampshire,1980,11,"688,000   ","468,221   ",68.1   ,"447,712   ",65.1   ,"20,509   ",4.4   
34,New Jersey,1980,11,"5,623,000   ","3,595,549   ",63.9   ,"3,338,196   ",59.4   ,"257,353   ",7.2   
35,New Mexico,1980,11,"930,000   ","576,845   ",62.0   ,"532,403   ",57.2   ,"44,442   ",7.7   
36,New York,1980,11,"13,341,000   ","7,954,612   ",59.6   ,"7,372,134   ",55.3   ,"582,478   ",7.3   
51000,New York city,1980,11,"5,538,000   ","3,058,260   ",55.2   ,"2,798,890   ",50.5   ,"259,370   ",8.5   
37,North Carolina,1980,11,"4,322,000   ","2,855,521   ",66.1   ,"2,672,196   ",61.8   ,"183,325   ",6.4   
38,North Dakota,1980,11,"469,000   ","300,796   ",64.1   ,"286,960   ",61.2   ,"13,836   ",4.6   
39,Ohio,1980,11,"8,010,000   ","5,110,451   ",63.8   ,"4,673,266   ",58.3   ,"437,185   ",8.6   
40,Oklahoma,1980,11,"2,237,000   ","1,409,243   ",63.0   ,"1,345,001   ",60.1   ,"64,242   ",4.6   
41,Oregon,1980,11,"1,985,000   ","1,311,941   ",66.1   ,"1,202,974   ",60.6   ,"108,967   ",8.3   
42,Pennsylvania,1980,11,"9,071,000   ","5,445,921   ",60.0   ,"5,026,391   ",55.4   ,"419,530   ",7.7   
44,Rhode Island,1980,11,"722,000   ","474,785   ",65.8   ,"442,228   ",61.3   ,"32,557   ",6.9   
45,South Carolina,1980,11,"2,239,000   ","1,405,075   ",62.8   ,"1,306,971   ",58.4   ,"98,104   ",7.0   
46,South Dakota,1980,11,"496,000   ","333,750   ",67.3   ,"317,257   ",64.0   ,"16,493   ",4.9   
47,Tennessee,1980,11,"3,416,000   ","2,091,241   ",61.2   ,"1,927,816   ",56.4   ,"163,425   ",7.8   
48,Texas,1980,11,"10,344,000   ","6,880,848   ",66.5   ,"6,527,919   ",63.1   ,"352,929   ",5.1   
49,Utah,1980,11,"972,000   ","639,092   ",65.8   ,"598,263   ",61.5   ,"40,829   ",6.4   
50,Vermont,1980,11,"379,000   ","251,610   ",66.4   ,"235,841   ",62.2   ,"15,769   ",6.3   
51,Virginia,1980,11,"3,915,000   ","2,558,888   ",65.4   ,"2,434,581   ",62.2   ,"124,307   ",4.9   
53,Washington,1980,11,"3,084,000   ","1,990,104   ",64.5   ,"1,825,329   ",59.2   ,"164,775   ",8.3   
54,West Virginia,1980,11,"1,449,000   ","785,700   ",54.2   ,"710,132   ",49.0   ,"75,568   ",9.6   
55,Wisconsin,1980,11,"3,490,000   ","2,359,981   ",67.6   ,"2,179,781   ",62.5   ,"180,200   ",7.6   
56,Wyoming,1980,11,"340,000   ","240,784   ",70.8   ,"230,792   ",67.9   ,"9,992   ",4.1   
01,Alabama,1980,12,"2,846,000   ","1,679,245   ",59.0   ,"1,528,020   ",53.7   ,"151,225   ",9.0   
02,Alaska,1980,12,"268,000   ","184,825   ",69.0   ,"167,002   ",62.3   ,"17,823   ",9.6   
04,Arizona,1980,12,"2,020,000   ","1,240,191   ",61.4   ,"1,173,022   ",58.1   ,"67,169   ",5.4   
05,Arkansas,1980,12,"1,678,000   ","990,863   ",59.1   ,"911,238   ",54.3   ,"79,625   ",8.0   
06,California,1980,12,"17,866,000   ","11,624,399   ",65.1   ,"10,872,353   ",60.9   ,"752,046   ",6.5   
037,Los Angeles County,1980,12,"5,674,000   ","3,771,078   ",66.5   ,"3,531,252   ",62.2   ,"239,826   ",6.4   
08,Colorado,1980,12,"2,155,000   ","1,488,506   ",69.1   ,"1,402,834   ",65.1   ,"85,672   ",5.8   
09,Connecticut,1980,12,"2,382,000   ","1,578,452   ",66.3   ,"1,487,698   ",62.5   ,"90,754   ",5.7   
10,Delaware,1980,12,"442,000   ","285,665   ",64.6   ,"265,601   ",60.1   ,"20,064   ",7.0   
11,District of Columbia,1980,12,"490,000   ","312,376   ",63.8   ,"287,032   ",58.6   ,"25,344   ",8.1   
12,Florida,1980,12,"7,749,000   ","4,336,488   ",56.0   ,"4,085,358   ",52.7   ,"251,130   ",5.8   
13,Georgia,1980,12,"3,962,000   ","2,553,340   ",64.4   ,"2,422,627   ",61.1   ,"130,713   ",5.1   
15,Hawaii,1980,12,"669,000   ","444,113   ",66.4   ,"423,389   ",63.3   ,"20,724   ",4.7   
16,Idaho,1980,12,"664,000   ","425,930   ",64.1   ,"394,256   ",59.4   ,"31,674   ",7.4   
17,Illinois,1980,12,"8,500,000   ","5,533,887   ",65.1   ,"5,064,459   ",59.6   ,"469,428   ",8.5   
18,Indiana,1980,12,"4,024,000   ","2,589,317   ",64.3   ,"2,352,691   ",58.5   ,"236,626   ",9.1   
19,Iowa,1980,12,"2,156,000   ","1,415,458   ",65.7   ,"1,328,351   ",61.6   ,"87,107   ",6.2   
20,Kansas,1980,12,"1,747,000   ","1,181,076   ",67.6   ,"1,131,890   ",64.8   ,"49,186   ",4.2   
21,Kentucky,1980,12,"2,662,000   ","1,673,467   ",62.9   ,"1,537,168   ",57.7   ,"136,299   ",8.1   
22,Louisiana,1980,12,"3,011,000   ","1,811,603   ",60.2   ,"1,685,429   ",56.0   ,"126,174   ",7.0   
23,Maine,1980,12,"830,000   ","501,486   ",60.4   ,"462,736   ",55.8   ,"38,750   ",7.7   
24,Maryland,1980,12,"3,168,000   ","2,148,145   ",67.8   ,"2,012,418   ",63.5   ,"135,727   ",6.3   
25,Massachusetts,1980,12,"4,395,000   ","2,878,371   ",65.5   ,"2,732,265   ",62.2   ,"146,106   ",5.1   
26,Michigan,1980,12,"6,778,000   ","4,252,107   ",62.7   ,"3,754,801   ",55.4   ,"497,306   ",11.7   
27,Minnesota,1980,12,"3,027,000   ","2,103,818   ",69.5   ,"1,985,483   ",65.6   ,"118,335   ",5.6   
28,Mississippi,1980,12,"1,782,000   ","1,057,235   ",59.3   ,"978,734   ",54.9   ,"78,501   ",7.4   
29,Missouri,1980,12,"3,674,000   ","2,297,463   ",62.5   ,"2,130,284   ",58.0   ,"167,179   ",7.3   
30,Montana,1980,12,"578,000   ","375,063   ",64.9   ,"350,887   ",60.7   ,"24,176   ",6.4   
